    40/299     11.9G   0.04115   0.03526   0.01887   0.09528       190       640    0.6936    0.6367    0.6823    0.3959   0.03556   0.02031  0.009513
    41/299     11.9G   0.04118   0.03516   0.01841   0.09475       195       640    0.6788    0.6427    0.6818    0.3951   0.03559   0.02024  0.009471
    42/299     11.9G   0.04078   0.03509    0.0178   0.09367       203       640    0.6964     0.635    0.6867     0.399   0.03535   0.02018   0.00934
    43/299     11.9G   0.04063   0.03534   0.01791   0.09387       205       640    0.6907    0.6399    0.6895    0.4029   0.03514   0.02012  0.009224
    44/299     11.9G   0.04048   0.03502   0.01764   0.09314       213       640    0.7048    0.6353    0.6917     0.408   0.03502    0.0201  0.009079
    45/299     11.9G   0.04035   0.03506   0.01767   0.09309       186       640    0.6966    0.6435    0.6935    0.4095   0.03489   0.02011  0.009203
    46/299     11.9G   0.03998    0.0349   0.01741    0.0923       180       640    0.7019    0.6463    0.6961    0.4109   0.03484   0.02005   0.00918
    47/299     11.9G   0.04028   0.03459   0.01745   0.09232       189       640    0.7179    0.6285    0.6966    0.4124    0.0347   0.01998  0.009087
    48/299     11.9G   0.04017   0.03487   0.01693   0.09197       198       640    0.7023    0.6484    0.7006     0.415    0.0346   0.01995  0.009043
    49/299     11.9G   0.04003   0.03485     0.017   0.09187       210       640    0.7147    0.6448     0.701    0.4169   0.03448   0.01991   0.00893
    50/299     11.9G   0.03984   0.03444    0.0171   0.09138       189       640    0.7029    0.6596    0.7043    0.4207   0.03439   0.01987  0.008735
    51/299     11.9G   0.03972   0.03438   0.01679   0.09089       210       640    0.6921    0.6724     0.707    0.4237   0.03436   0.01985  0.008657
    52/299     11.9G   0.03953   0.03471   0.01656    0.0908       183       640    0.6939    0.6706    0.7091    0.4252   0.03428   0.01982  0.008634
    53/299     11.9G   0.03955    0.0342   0.01683   0.09059       207       640    0.6978    0.6692    0.7118    0.4279   0.03421    0.0198  0.008551
    54/299     11.9G   0.03943   0.03454   0.01625   0.09023       220       640       0.7    0.6683    0.7122    0.4295   0.03414   0.01977  0.008533
    55/299     11.9G   0.03923   0.03414    0.0161   0.08947       157       640    0.7205    0.6535     0.714    0.4314   0.03406   0.01976  0.008484
