    40/299     11.9G   0.04181   0.03512   0.01879   0.09572       190       640    0.6855    0.6474    0.6817    0.3919   0.03609   0.02038  0.009634
    41/299     11.9G   0.04185   0.03505   0.01851   0.09541       195       640    0.6754    0.6498     0.681    0.3936   0.03608   0.02025  0.009519
    42/299     11.9G   0.04156   0.03505   0.01792   0.09453       203       640    0.6936    0.6423    0.6866    0.3979   0.03582    0.0202  0.009361
    43/299     11.9G   0.04129   0.03516   0.01789   0.09434       205       640    0.6816    0.6567    0.6896    0.4039   0.03563   0.02017  0.009229
    44/299     11.9G   0.04127   0.03495   0.01793   0.09416       213       640    0.6981    0.6447    0.6923     0.406   0.03554   0.02007  0.009029
    45/299     11.9G   0.04112   0.03494   0.01766   0.09372       186       640    0.6966    0.6424    0.6924    0.4077   0.03541   0.02012  0.009143
    46/299     11.9G   0.04066   0.03477   0.01767   0.09311       180       640    0.6802    0.6588    0.6917    0.4089   0.03527   0.02007  0.009017
    47/299     11.9G    0.0409   0.03443   0.01751   0.09284       189       640    0.6807    0.6602    0.6937    0.4097   0.03519   0.02004  0.008981
    48/299     11.9G   0.04082   0.03479   0.01707   0.09268       198       640    0.6992    0.6493     0.697    0.4128   0.03509   0.01999  0.008922
    49/299     11.9G   0.04062   0.03472     0.017   0.09235       210       640     0.694    0.6573    0.6996    0.4169   0.03499   0.01995  0.008849
    50/299     11.9G   0.04043   0.03436   0.01695   0.09174       189       640    0.6949    0.6603    0.7038    0.4188   0.03489   0.01993  0.008721
    51/299     11.9G    0.0404   0.03433   0.01695   0.09168       210       640     0.707    0.6539    0.7036    0.4186   0.03482   0.01992   0.00865
    52/299     11.9G   0.04022   0.03463   0.01666    0.0915       183       640    0.7102    0.6534     0.706    0.4206   0.03474   0.01988  0.008573
    53/299     11.9G   0.04016    0.0341   0.01681   0.09107       207       640     0.693    0.6733    0.7071    0.4222    0.0347   0.01985  0.008575
    54/299     11.9G   0.03999   0.03445   0.01642   0.09086       220       640    0.7135    0.6601    0.7089    0.4247   0.03463    0.0198  0.008538
    55/299     11.9G   0.03991   0.03407   0.01638   0.09036       157       640    0.7156    0.6611    0.7118    0.4279   0.03457   0.01978  0.008483
    56/299     11.9G   0.03985   0.03391   0.01618   0.08994       168       640    0.7098     0.665    0.7122    0.4295    0.0345   0.01976  0.008456
    57/299     11.9G    0.0399   0.03453   0.01604   0.09048       182       640    0.7273    0.6549    0.7133    0.4313   0.03445   0.01972  0.008419
    58/299     11.9G   0.03971   0.03404   0.01619   0.08994       191       640    0.7105    0.6689    0.7139    0.4329   0.03439    0.0197  0.008366
    59/299     11.9G   0.03973   0.03411   0.01615   0.08998       222       640    0.7192    0.6621    0.7156    0.4337   0.03436   0.01968  0.008316
    60/299     11.9G   0.03962   0.03397   0.01579   0.08937       191       640    0.7089    0.6714    0.7172    0.4352   0.03432   0.01966  0.008293
    61/299     11.9G   0.03958   0.03368   0.01565    0.0889       217       640    0.7069    0.6743    0.7183    0.4364   0.03426   0.01964  0.008258
    62/299     11.9G   0.03958     0.034   0.01564   0.08922       210       640    0.7054    0.6763    0.7187    0.4374   0.03422   0.01963  0.008226
